"","gs","M6","SM","Freq"
"1","(0.142,0.274]","-1","(11.9,20.7]",0.221428571428571
"2","(0.274,0.406]","-1","(11.9,20.7]",0.489285714285714
"3","(0.406,0.538]","-1","(11.9,20.7]",0.221428571428571
"4","(0.538,0.671]","-1","(11.9,20.7]",0.0607142857142857
"5","(0.00895,0.142]","-1","(11.9,20.7]",0.00714285714285714
"6","(0.142,0.274]","0","(11.9,20.7]",0.0641509433962264
"7","(0.274,0.406]","0","(11.9,20.7]",0.290566037735849
"8","(0.406,0.538]","0","(11.9,20.7]",0.120754716981132
"9","(0.538,0.671]","0","(11.9,20.7]",0.0641509433962264
"10","(0.00895,0.142]","0","(11.9,20.7]",0.460377358490566
"11","(0.142,0.274]","1","(11.9,20.7]",0.128
"12","(0.274,0.406]","1","(11.9,20.7]",0.188
"13","(0.406,0.538]","1","(11.9,20.7]",0.008
"14","(0.538,0.671]","1","(11.9,20.7]",0.008
"15","(0.00895,0.142]","1","(11.9,20.7]",0.668
"16","(0.142,0.274]","-1","(20.7,29.6]",0.162105263157895
"17","(0.274,0.406]","-1","(20.7,29.6]",0.193684210526316
"18","(0.406,0.538]","-1","(20.7,29.6]",0.288421052631579
"19","(0.538,0.671]","-1","(20.7,29.6]",0.162105263157895
"20","(0.00895,0.142]","-1","(20.7,29.6]",0.193684210526316
"21","(0.142,0.274]","0","(20.7,29.6]",0.2
"22","(0.274,0.406]","0","(20.7,29.6]",0.36304347826087
"23","(0.406,0.538]","0","(20.7,29.6]",0.265217391304348
"24","(0.538,0.671]","0","(20.7,29.6]",0.102173913043478
"25","(0.00895,0.142]","0","(20.7,29.6]",0.0695652173913043
"26","(0.142,0.274]","1","(20.7,29.6]",0.175409836065574
"27","(0.274,0.406]","1","(20.7,29.6]",0.372131147540984
"28","(0.406,0.538]","1","(20.7,29.6]",0.126229508196721
"29","(0.538,0.671]","1","(20.7,29.6]",0.0278688524590164
"30","(0.00895,0.142]","1","(20.7,29.6]",0.298360655737705
"31","(0.142,0.274]","-1","(29.6,38.4]",0.262068965517241
"32","(0.274,0.406]","-1","(29.6,38.4]",0.313793103448276
"33","(0.406,0.538]","-1","(29.6,38.4]",0.339655172413793
"34","(0.538,0.671]","-1","(29.6,38.4]",0.0551724137931034
"35","(0.00895,0.142]","-1","(29.6,38.4]",0.0293103448275862
"36","(0.142,0.274]","0","(29.6,38.4]",0.150819672131148
"37","(0.274,0.406]","0","(29.6,38.4]",0.273770491803279
"38","(0.406,0.538]","0","(29.6,38.4]",0.150819672131148
"39","(0.538,0.671]","0","(29.6,38.4]",0.126229508196721
"40","(0.00895,0.142]","0","(29.6,38.4]",0.298360655737705
"41","(0.142,0.274]","1","(29.6,38.4]",0.433766233766234
"42","(0.274,0.406]","1","(29.6,38.4]",0.0831168831168831
"43","(0.406,0.538]","1","(29.6,38.4]",0.0831168831168831
"44","(0.538,0.671]","1","(29.6,38.4]",0.00519480519480519
"45","(0.00895,0.142]","1","(29.6,38.4]",0.394805194805195
"46","(0.142,0.274]","-1","(38.4,47.2]",0.147826086956522
"47","(0.274,0.406]","-1","(38.4,47.2]",0.539130434782609
"48","(0.406,0.538]","-1","(38.4,47.2]",0.0173913043478261
"49","(0.538,0.671]","-1","(38.4,47.2]",0.147826086956522
"50","(0.00895,0.142]","-1","(38.4,47.2]",0.147826086956522
"51","(0.142,0.274]","0","(38.4,47.2]",0.2
"52","(0.274,0.406]","0","(38.4,47.2]",0.2
"53","(0.406,0.538]","0","(38.4,47.2]",0.552941176470588
"54","(0.538,0.671]","0","(38.4,47.2]",0.0235294117647059
"55","(0.00895,0.142]","0","(38.4,47.2]",0.0235294117647059
"56","(0.142,0.274]","1","(38.4,47.2]",0.427586206896552
"57","(0.274,0.406]","1","(38.4,47.2]",0.324137931034483
"58","(0.406,0.538]","1","(38.4,47.2]",0.220689655172414
"59","(0.538,0.671]","1","(38.4,47.2]",0.0137931034482759
"60","(0.00895,0.142]","1","(38.4,47.2]",0.0137931034482759
"61","(0.142,0.274]","-1","(3.06,11.9]",0.0285714285714286
"62","(0.274,0.406]","-1","(3.06,11.9]",0.242857142857143
"63","(0.406,0.538]","-1","(3.06,11.9]",0.0285714285714286
"64","(0.538,0.671]","-1","(3.06,11.9]",0.242857142857143
"65","(0.00895,0.142]","-1","(3.06,11.9]",0.457142857142857
"66","(0.142,0.274]","0","(3.06,11.9]",0.0285714285714286
"67","(0.274,0.406]","0","(3.06,11.9]",0.457142857142857
"68","(0.406,0.538]","0","(3.06,11.9]",0.0285714285714286
"69","(0.538,0.671]","0","(3.06,11.9]",0.0285714285714286
"70","(0.00895,0.142]","0","(3.06,11.9]",0.457142857142857
"71","(0.142,0.274]","1","(3.06,11.9]",0.0285714285714286
"72","(0.274,0.406]","1","(3.06,11.9]",0.0285714285714286
"73","(0.406,0.538]","1","(3.06,11.9]",0.0285714285714286
"74","(0.538,0.671]","1","(3.06,11.9]",0.0285714285714286
"75","(0.00895,0.142]","1","(3.06,11.9]",0.885714285714286
