"","V1","V2","V3","V4","V5","V6"
"1","Bra033879","Bra001934","Bra036992","Bra038600","Bra015319","Bra016007,Bra016008,Bra016009,Bra016010"
"2","Bra021990","Bra030885","Bra039311,Bra039312,Bra039314,Bra039315","Bra001306","Bra005635","Bra036585"
"3","Bra018184","Bra001788","Bra029071","Bra039041","Bra008824,Bra008825,Bra008826","Bra006053"
"4","Bra029591","Bra039865","Bra024320,Bra024321","Bra012667,Bra012694","Bra008030","Bra026126"
"5","Bra009292","Bra019994","Bra035881","Bra007930","Bra033491","Bra028666"
"6","Bra006289","Bra030561","Bra005371","Bra029780","Bra018689","Bra019115"
"7","Bra035819,Bra035820","Bra034356","Bra009004","Bra018549","Bra036625","Bra011515"
"8","Bra014081","Bra001297","Bra018681","Bra022114","Bra005820","Bra033871"
"9","Bra027911","Bra028189","Bra018137","Bra018454","Bra033311","Bra026128"
"10","Bra006626","Bra030879","Bra037984","Bra013804","Bra015131","Bra013239"
"11","Bra004722","Bra006338","Bra019634,Bra019635","Bra011794,Bra011795","Bra026477",NA
"12","Bra030045,snoR74","Bra003427,Bra003428","Bra011568","Bra040120","Bra036618",NA
"13","Bra011664",NA,"Bra010620,Bra010621","Bra039014","Bra032134",NA
"14","Bra002483",NA,"Bra021983","Bra035980","Bra009039",NA
"15","Bra030292",NA,"Bra009617","Bra002290,Bra002291","Bra030786",NA
"16","Bra009706,Bra009707",NA,"Bra014414","Bra039066","Bra011477",NA
"17","Bra005759",NA,"Bra021937","Bra033473","Bra004087,snoR74",NA
"18","Bra028546",NA,"Bra034368,Bra034369","Bra005923","Bra026380",NA
"19","Bra036117",NA,"Bra005514","Bra009940","Bra040415",NA
"20","Bra020280",NA,"Bra036234","Bra017279","Bra004806",NA
"21","Bra008643",NA,"Bra032332","Bra005745","Bra025894,Bra025895",NA
"22","Bra001127",NA,"Bra011108","Bra006553","Bra012446,Bra012447",NA
"23","Bra001156",NA,"Bra000853","Bra003512","Bra010330",NA
"24","Bra007151,Bra007152",NA,"Bra022298","Bra006567","Bra040117",NA
"25","Bra009577",NA,"Bra005607","Bra008958,tRNA-Phe","Bra004225",NA
"26","Bra010455",NA,"Bra000989","Bra003471","Bra030791",NA
"27","Bra019068,Bra019069,Bra019070",NA,"Bra016541,Bra016542","Bra036709,Bra036710","Bra029167",NA
"28","Bra005784",NA,"Bra009571,Bra009572","Bra006936","Bra039149",NA
"29","Bra035939",NA,"Bra005097","Bra040197","Bra019574",NA
"30","Bra023104",NA,"Bra015538","Bra005180",NA,NA
"31","Bra024896",NA,"Bra035251","Bra000159",NA,NA
"32","Bra001154",NA,"Bra024688","Bra033172",NA,NA
"33","Bra009431",NA,"Bra035119","Bra036611",NA,NA
"34","Bra026484",NA,"Bra001020","Bra036448",NA,NA
"35","Bra012580,tRNA-Glu",NA,"Bra018381","Bra002045",NA,NA
"36","Bra016062",NA,"Bra032697","Bra010413",NA,NA
"37","Bra034800",NA,"Bra014184","Bra039999",NA,NA
"38","Bra019205,Bra019206",NA,"Bra023312","Bra000242",NA,NA
"39","Bra005296",NA,"Bra005668",NA,NA,NA
"40","Bra011871",NA,"Bra031347,Bra031348,Bra031349",NA,NA,NA
"41","Bra001213",NA,"Bra006380",NA,NA,NA
"42","Bra040409",NA,"Bra026790",NA,NA,NA
"43","Bra034834",NA,"Bra005677",NA,NA,NA
"44","Bra027985,Bra027986",NA,"Bra019071",NA,NA,NA
"45","Bra001450",NA,"Bra026338",NA,NA,NA
"46","Bra028856",NA,"Bra027452",NA,NA,NA
"47","Bra001911",NA,"Bra003001,Bra003002",NA,NA,NA
"48","Bra014387",NA,"Bra031789,Bra031790",NA,NA,NA
"49","Bra028708",NA,NA,NA,NA,NA
"50","Bra029751",NA,NA,NA,NA,NA
"51","Bra035298",NA,NA,NA,NA,NA
"52","Bra013215",NA,NA,NA,NA,NA
"53","Bra004654",NA,NA,NA,NA,NA
"54","Bra028778",NA,NA,NA,NA,NA
"55","Bra015088",NA,NA,NA,NA,NA
"56","Bra007669",NA,NA,NA,NA,NA
"57","Bra033346",NA,NA,NA,NA,NA
"58","Bra010943",NA,NA,NA,NA,NA
"59","Bra013284",NA,NA,NA,NA,NA
"60","Bra006768",NA,NA,NA,NA,NA
"61","Bra008144,Bra008145",NA,NA,NA,NA,NA
"62","Bra020681",NA,NA,NA,NA,NA
"63","Bra023052",NA,NA,NA,NA,NA
"64","Bra036669",NA,NA,NA,NA,NA
"65","Bra011551",NA,NA,NA,NA,NA
"66","Bra019662",NA,NA,NA,NA,NA
"67","Bra034643",NA,NA,NA,NA,NA
"68","Bra038714",NA,NA,NA,NA,NA
"69","Bra006629",NA,NA,NA,NA,NA
"70","Bra003949",NA,NA,NA,NA,NA
"71","Bra019143,Bra019144",NA,NA,NA,NA,NA
"72","Bra034758",NA,NA,NA,NA,NA
"73","Bra010228",NA,NA,NA,NA,NA
"74","Bra022878",NA,NA,NA,NA,NA
"75","Bra023796,Bra023797",NA,NA,NA,NA,NA
"76","Bra014558",NA,NA,NA,NA,NA
"77","Bra040895",NA,NA,NA,NA,NA
"78","Bra012012",NA,NA,NA,NA,NA
"79","Bra002799,tRNA-Ser",NA,NA,NA,NA,NA
"80","Bra033012",NA,NA,NA,NA,NA
"81","Bra027789,tRNA-Thr",NA,NA,NA,NA,NA
"82","Bra005881",NA,NA,NA,NA,NA
"83","Bra030790",NA,NA,NA,NA,NA
